image_id,label,held_out_split,cv_test_fold
img_209b1d9b1968,0,val,1
img_1b6fac84fb44,0,test,4
img_ab2563aa56aa,0,train,3
img_14831d8c7d8d,0,train,5
img_b8729f80dae2,0,train,3
img_40a87833f832,0,test,5
img_d56152c3f4ea,0,train,1
img_2e6c2e943f0b,0,train,2
img_8d61ff372f08,0,train,4
img_0471e2415945,0,train,1
img_aaa1347c979b,0,train,4
img_8927f5113eb5,0,train,3
img_8658b17c869b,0,train,5
img_84931367ce37,0,train,2
img_ff238e4b2d9c,0,train,1
img_226aab78ff77,0,train,2
img_9ecd68422c6e,0,train,3
img_1d99dd11bc3e,0,train,4
img_b44b2aef44df,0,train,5
img_916fd7cb738d,0,train,1
img_0df967812ccd,0,train,2
img_7fd94427893b,0,val,3
img_c52aa41f9bee,0,val,4
img_040260a7b54c,0,train,5
img_ec0cc553ce9b,0,train,2
img_04c1fa27696d,0,val,3
img_d3ee024e02f1,0,train,1
img_e35edbc920d4,0,train,4
img_29d77be03fbb,0,train,5
img_779a39dbe352,0,train,1
img_0890a729a7d9,0,train,2
img_f31223c6e19f,0,test,3
img_a351061bb7e2,0,train,4
img_0c19a1474aa3,0,train,5
img_6b21b5568d9c,0,test,2
img_ad5899576cce,0,train,3
img_27816e031584,0,train,1
img_0b5ec30bfa6d,0,train,4
img_27e513f54fa0,0,train,5
img_54005998c6bd,0,val,1
img_a5c6fa1b3905,0,train,2
img_41dcc5a7489e,0,test,3
img_e61922eee6fc,0,train,4
img_8ca7c4d36b42,0,train,5
img_aa4da822276c,0,train,4
img_ae05c2ba3988,0,train,1
img_0b3252565c45,0,test,3
img_68449a98e286,0,train,5
img_4db8d6954307,0,train,2
img_4e0399a9fcfd,0,train,3
img_416843632357,0,val,1
img_039ec822d26f,0,test,2
img_f4ca034eda51,0,val,4
img_866912dfad51,0,val,5
img_ac3bf6ff4530,0,val,4
img_092a787e2da6,0,train,3
img_bae9463b28ec,0,train,1
img_9cf668ac7e4f,0,train,2
img_81e72256fee5,0,train,5
img_1fdd3706abea,0,test,2
img_778fa995336d,0,train,1
img_0def835f58e7,0,train,3
img_4966ee19a457,0,train,4
img_aa2da70ca34e,0,train,5
img_4f9a75f20d9d,0,train,5
img_5d337c9be4d8,0,train,1
img_c2d83cdef1c5,0,train,3
img_ca3762d1798b,0,train,2
img_fb8feb40e3ca,0,train,4
img_e18b3e5c9dd0,0,val,1
img_e510aaa29411,0,train,2
img_c76f4e31eec5,0,val,4
img_01521b9e7be8,0,train,3
img_37a146bd9460,0,train,5
img_2e7e125ba74c,0,train,2
img_58872d02f27f,0,train,1
img_59bf8a38fd29,0,test,3
img_fb968cda7b85,0,train,4
img_5bd42d6d5968,0,val,5
img_9062944d958a,0,val,1
img_fc0ab4a11bdd,0,val,2
img_506a74de60c6,0,train,5
img_67a3682d09b0,0,train,3
img_7f071cb38b50,0,train,4
img_cacdb5288103,0,train,3
img_66e9cf7b0c4d,0,test,5
img_6d9eba5179cb,0,train,1
img_90c8eee11362,0,val,4
img_3fa1c183471d,0,train,2
img_486248558240,0,train,1
img_3b04cde803ba,0,train,4
img_fec55a3409b5,0,val,2
img_d195fcf7fc47,0,train,3
img_42dccec80625,0,train,5
img_6085988f4c9b,0,train,1
img_348b216085ab,0,train,4
img_eac1fc65f269,0,train,2
img_176fb02f3fdf,0,train,3
img_fbea66d49c38,0,train,5
img_44a020ab3313,0,train,1
img_2eb03fb2a269,0,train,4
img_f3ece4f60664,0,train,2
img_fc72d3c091ea,0,train,3
img_f308b9e9cfda,0,train,5
img_ddb9e935380c,0,val,1
img_7a75b2efc1df,0,train,2
img_78d77e2b6651,0,train,3
img_2620ee7e0e0f,0,train,4
img_1a0f09a20897,0,train,5
img_b5282cdfaf80,0,train,1
img_37421ceb723c,0,train,5
img_13d98a2026dc,0,train,2
img_1e4455159ff5,0,train,3
img_5662d9f94dd9,0,train,4
img_dad048c16a94,0,train,1
img_f55ff97d5ca1,0,val,2
img_b6d9c15ced43,0,train,3
img_b97efd1fddc8,0,train,4
img_893110fee764,0,train,5
img_356d442724c9,0,train,2
img_045c1ec203a6,0,train,1
img_36b00404afa1,0,val,3
img_5d108d746375,0,train,4
img_d38e03eaa6ce,0,train,5
img_b620a28ebfb4,0,train,2
img_c6349a86a3eb,0,train,1
img_cc9ae8cfd8f5,0,train,3
img_7c16c22e1570,0,val,4
img_ac86e3d18045,0,train,5
img_271db1efab17,0,train,2
img_dbbd170d23c3,0,val,1
img_c3e32aed969e,0,val,3
img_75dcd1abf615,0,train,4
img_c2674c91094c,0,train,5
img_b35b979c06ee,0,val,1
img_e53094ffca14,0,train,2
img_fc7dc6d8e44a,0,test,5
img_c2e0d085373d,0,train,3
img_f41bdeb79cd8,0,train,4
img_611e724f4447,0,test,4
img_e1c90767ca43,0,train,1
img_1e817668dc40,0,test,2
img_e522abc12fc4,0,train,3
img_48ba30dbe748,0,test,5
img_939d28d68f7b,0,train,4
img_eb9f5d108b70,0,train,5
img_21305515c738,0,train,1
img_1256c29240e2,0,train,2
img_ea3a78e37119,0,train,3
img_1ed4d1d16713,0,train,1
img_ec815fb1791f,0,test,4
img_8920e28b7451,0,test,2
img_62b47f613ba2,0,train,3
img_11d733675d09,0,train,5
img_78d3b9475722,0,test,1
img_756c823ff84f,0,train,2
img_3bc8d46506e4,0,train,3
img_a62b680de35b,0,train,5
img_595bb1b6ffde,0,train,4
img_fd3db07d6181,0,train,4
img_75e2a92ce78a,0,test,1
img_d54e3a787551,0,train,2
img_4ddeb71e8dac,0,train,3
img_8f01278eaf90,0,train,5
img_7330d2df03c9,0,test,1
img_e8e5ae0fde4c,0,test,2
img_68ac6de1d845,0,train,3
img_ee57f76768bc,0,test,4
img_cb6842356cbd,0,train,5
img_4eea005f6b67,0,train,1
img_4573d1783466,0,train,2
img_bdf7ce5f2d26,0,train,3
img_f658a05e40b2,0,train,4
img_04caa469bf20,0,train,5
img_73e760bf81ab,0,train,1
img_ed977c75c683,0,val,3
img_ac43b9d25a48,0,train,2
img_b8b623d6746c,0,test,4
img_02dc4c25585e,0,test,5
img_0c410bec1d81,0,train,5
img_812da4c57078,0,val,1
img_8f496fe76868,0,test,2
img_2364003599fe,0,train,3
img_3b7a528e2934,0,train,4
img_75f645d9b534,0,train,1
img_ed08b02b5691,0,train,5
img_b707e4d9d483,0,val,2
img_bd2348158823,0,val,3
img_8df35a0e151d,0,train,4
img_286309fa4a7e,0,train,1
img_ec0eb407559a,0,train,2
img_0bbdc4fcee98,0,train,5
img_1f79437d622a,0,train,3
img_93f12cfc96b2,0,test,4
img_168b227e6d0f,0,train,1
img_11a363fc5f00,0,train,4
img_ade98d5ad4a2,0,test,2
img_c175270f4d16,0,test,3
img_d01be3230b43,0,val,5
img_219cd88c702f,0,val,1
img_f62cd423556e,0,train,2
img_8b8f5b7a88d6,0,train,3
img_5d6fa8553a4b,0,train,4
img_2fec83c5514c,0,val,5
img_e949b476224d,0,train,1
img_93ba74799153,0,val,2
img_a65c65b83e8a,0,val,3
img_c1f2c7876b90,0,train,4
img_c89407ebb9e1,0,train,5
img_996cdfb79edc,0,train,1
img_bcb763c9c84a,0,train,2
img_6f9f80950790,0,val,3
img_14ee18835f10,0,val,4
img_5922fb2d9748,0,test,5
img_84e77af88e6d,0,train,3
img_39385f54b232,0,train,5
img_bcb680416775,0,train,1
img_65d1fa3e4ec3,0,train,2
img_dada04387ba3,0,train,4
img_d200dcc0111a,0,train,3
img_abd8796a4d0c,0,train,5
img_45d052010dc7,0,train,1
img_e339ba6a1de9,0,train,2
img_b59178f93023,0,test,4
img_485403d4f20a,0,train,2
img_0ec831511966,0,train,1
img_52551be6e670,0,val,3
img_7688002c7df1,0,train,5
img_6734eaeab1f0,0,val,4
img_ad0838800c94,0,train,1
img_eccc081bf2c1,0,test,4
img_73b56968ebf2,0,train,2
img_a5b979d8f033,0,train,3
img_b3e1fb3144d7,0,val,5
img_92a5ecac5615,0,val,2
img_dd78313e85d6,0,train,1
img_e7d5ff0519d0,0,test,3
img_3f1724224361,0,train,4
img_cf5897f65839,0,train,5
img_6fbba3985305,0,test,2
img_ea240c4604a4,0,val,3
img_6792210c056c,0,train,1
img_bf1d4aad8c7a,0,train,4
img_9375177c9e10,0,train,5
img_b76c43dbc787,0,train,2
img_d1190b4bddcc,0,train,3
img_1731ed1f3eac,0,train,1
img_b7625cd81a5d,0,train,4
img_f28057f11ae2,0,val,5
img_9a240d150db6,0,test,1
img_27b8a5530f5b,0,val,2
img_44d28fb4fbbf,0,train,4
img_ef504ed5a273,0,train,3
img_ace00daeab91,0,val,5
img_fecca52599d5,0,train,1
img_1839a08612f9,0,train,2
img_8f0787e8ae89,0,val,5
img_3e6ed1a7231f,0,train,3
img_9e7a38c53d71,0,train,4
img_8f17a9e4d94b,0,train,3
img_9ce7325bdde2,0,val,1
img_920a7cb37902,0,val,2
img_877cc959125e,0,train,4
img_20cc03f03ded,0,train,5
img_b42f7f451f1b,0,train,2
img_fac75564afbb,0,train,3
img_c83258d28ab5,0,train,1
img_f9ed0c38d639,0,val,4
img_64a42581850f,0,train,5
img_2ed0f949410f,0,train,2
img_6cdc794c5add,0,train,3
img_015c2396a40f,0,val,1
img_35e83e4dec47,0,train,4
img_58151ea14a4d,0,train,5
img_7c7d4b830ad6,0,test,2
img_21c602084803,0,val,3
img_0cc2c5d55867,0,train,1
img_5d04297a669f,0,train,4
img_1a0eceaf114b,0,train,5
img_f1d6312c2821,0,train,2
img_f1347ce306d1,0,val,1
img_1e849dcc2829,0,train,4
img_8d6d445ae01a,0,val,3
img_9816e7c1aa50,0,train,5
img_ae3d911258eb,0,train,1
img_7ba0a6918299,0,train,2
img_98fff8937068,0,train,3
img_bfe2f9dc9627,0,train,4
img_efbe1286c8a5,0,train,5
img_762fe8629714,0,train,5
img_2bfcecd77881,0,train,1
img_2f4e441cd2c3,0,train,2
img_e1e5bbfd38e7,0,train,3
img_65dd3670cb7c,0,train,4
img_8423d86f0e9b,0,train,5
img_4f10521fc66b,0,train,1
img_7367d91c79ae,0,test,2
img_6b3adbb3c47f,0,train,3
img_e823d48b8734,0,train,4
img_d6c7c89e96ec,0,train,1
img_a5ac0dcd8854,0,train,2
img_c91415c19c75,0,test,5
img_d750378eb0a7,0,train,3
img_8dd420d92133,0,train,4
img_352368d19afa,0,val,1
img_d940b36250da,0,train,2
img_3eef4145656a,0,test,5
img_a97efb7df8ca,0,train,3
img_de7e2be45f50,0,train,4
img_bb5176cdb40e,0,train,1
img_271afaf4217e,0,train,2
img_01f4fe2ad26a,0,train,5
img_744edc82de34,0,train,3
img_b3323d8ee649,0,train,4
img_d9eeeb647bda,0,val,5
img_28e6756d8980,0,test,1
img_2caf2eb39e06,0,val,2
img_3ce767c47131,0,val,3
img_d3cb330e2093,0,train,4
img_74e92854b4ba,0,train,1
img_94b03523d3d7,0,train,5
img_e011e8e023ad,0,train,2
img_13409d08c4be,0,val,3
img_faef956a8dfc,0,train,4
img_9ddb4a887361,0,train,1
img_3457ef3eff12,0,train,2
img_86d0d8856729,0,train,3
img_ffa1cda4b346,0,train,4
img_c4ac58f49f0e,0,train,5
img_b952ddd653ce,0,train,1
img_28b5a2310b5b,0,train,2
img_ad0d8fd14a68,0,train,3
img_9ff013607550,0,train,4
img_fc6496996f52,0,train,5
img_8f3a7ae158b5,0,train,1
img_df13d59eeb46,0,train,2
img_d0f669915aa3,0,train,3
img_8bf703d8aca0,0,train,4
img_54cedda4e2ab,0,train,5
img_3a19f44e37ff,0,test,1
img_6f2cd6c7443b,0,train,3
img_045f829a52ba,0,train,2
img_108e8d3af474,0,train,4
img_8d9435fb3173,0,train,5
img_cddd5c8b9f78,0,val,1
img_274d30951415,0,val,5
img_fc1213c3ea7a,0,train,2
img_f3e2c0465091,0,val,3
img_a978226288dd,0,test,4
img_9109c57ef906,0,train,1
img_a3d4cfe16aad,0,train,2
img_eb05371bf34e,0,val,3
img_e88361d3ef29,0,train,4
img_b3b76ebc9fe8,0,train,5
img_319a9b2cc116,0,test,1
img_56e973793f8d,0,test,2
img_0b3e464487fe,0,val,5
img_79aca8d9d6f9,0,train,3
img_193dbca11575,0,train,4
img_7bd96e22cf89,0,train,1
img_668ac94db344,0,train,2
img_0600df3351fe,0,train,3
img_c592bc4f8fe7,0,train,4
img_ccdd32971b3d,0,val,5
img_3013b4e27bbf,0,test,1
img_facf1c244dd8,0,train,2
img_92b8ebe8bf51,0,test,3
img_7186f714001d,0,test,4
img_6451424ac832,0,test,5
img_e6c5f4f224ca,0,train,1
img_2242808b5e7a,0,val,5
img_ab9d7a708806,0,val,2
img_8e883e30d8ab,0,test,3
img_535ae8991a21,0,train,4
img_2a664feed9cd,0,val,1
img_1b88994a444b,0,train,2
img_3fa28865f8f4,0,train,3
img_74ebe01cd4bd,0,train,4
img_099394af0478,0,train,5
img_5c57cc0cc8d3,0,train,1
img_2ca77d43dc4a,0,train,2
img_08b7a8ea92a0,0,train,3
img_51148d3cc31b,0,test,4
img_5fb72565b482,0,train,5
img_d191e7eee964,0,train,5
img_cfb6150b9af9,0,val,1
img_c49fb20ec71d,0,train,2
img_ce3b3687214f,0,val,3
img_dd1f1f47ddc0,0,train,4
img_5f80ab427329,0,val,2
img_2184b00fdf07,0,test,1
img_a416a23dcc7e,0,train,5
img_bf0d3d6fc3f2,0,test,3
img_b4fb57858cb8,0,test,4
img_173ff4e4fe35,0,train,1
img_022f82517121,0,val,2
img_17483c401c01,0,train,3
img_3ca1c447fa85,0,val,5
img_6f812a6e0c57,0,test,4
img_7b6af6ed0dd3,0,test,1
img_fa8f5cfb844b,0,train,2
img_60a876312acc,0,train,3
img_054a69256bb9,0,train,4
img_f9083cf9a329,0,train,5
img_2eea1f1e2963,0,val,1
img_c4bc6275cfbe,0,train,2
img_ceb69f1933ba,0,train,3
img_7461ed93a69c,0,test,4
img_bb71a9f11b67,0,train,5
img_349228df1a1c,0,train,3
img_1082470ff60a,0,train,1
img_088b14e1fe43,0,test,2
img_b704ff989c71,0,test,4
img_19847074dd64,0,train,5
img_a551fda5aacf,0,train,1
img_b1fb1828a890,0,train,3
img_d4c3e4cd67ca,0,train,4
img_aa2a097af1ab,0,test,5
img_4eee4ab85e61,0,train,2
img_17bfdcb9b130,0,test,1
img_f2a56eef0e0e,0,train,2
img_c5ff2f7ddb87,0,train,3
img_f0339be991e3,0,val,4
img_d64f65f4e0a5,0,train,5
img_683a6f1adfc9,0,train,5
img_bd5973c2f9e5,0,train,1
img_802748c1e4e4,0,train,2
img_199a8f2edef0,0,val,3
img_d926900256cf,0,train,4
img_5b4dd663127e,0,train,2
img_5ac800f6c430,0,train,5
img_b8ba5db73219,0,train,1
img_8173300f7cac,0,train,3
img_0c4e57ad1bcf,0,val,4
img_adfb67ebbc81,0,train,1
img_edcc15960a35,0,train,3
img_7efa3561c7ec,0,train,2
img_f7cb92a52c92,0,train,4
img_c97fad7b32d8,0,val,5
img_bcb83f526630,0,train,1
img_94f3b24df951,0,train,2
img_8d1873e58d64,0,train,3
img_a72f4f6e9975,0,train,4
img_82e908edff36,0,train,5
img_93f1ba6baf3f,0,train,1
img_66453797036a,0,train,2
img_731408512d70,0,train,4
img_4187fb4ae08b,0,test,3
img_448c7eb9c3f2,0,train,5
img_76aadda0d6bd,0,train,1
img_b57aca54e50a,0,test,3
img_3a828f073856,0,val,2
img_86493eaf1c7f,0,train,4
img_80a9786c14ca,0,train,5
img_5a3f11157f6a,0,test,1
img_49646395897b,0,train,5
img_fbf92748eb74,0,train,2
img_95db79f98961,0,train,3
img_323152756c51,0,val,4
img_15abdb8d1d21,0,val,2
img_6416d48931c3,0,train,1
img_4cd69b77cfa5,0,test,3
img_d8c022597eda,0,train,4
img_62097650d2d3,0,test,5
img_623529e7d242,0,train,2
img_00d7782efac1,0,train,4
img_57a9b8a3f366,0,test,3
img_08048cfd9a2d,0,train,1
img_c1aee1af0a58,0,val,5
img_15503361d4af,0,val,2
img_1f5c8cded113,0,train,1
img_0ddf5aa8a5c8,0,train,3
img_ca742d249402,0,train,4
img_c59a38bae8d9,0,test,5
img_0fdff5a7913e,0,train,4
img_072986956226,0,test,1
img_6db5f3ff482e,0,train,2
img_24ba352d4130,0,train,3
img_b69bb2e0aa5a,0,train,5
img_535ca47db4a0,0,test,3
img_266aba93ea1b,0,train,4
img_e2f40613c010,0,test,5
img_66b164260702,0,train,1
img_3c1cbfc193fd,0,train,2
img_2a3e8b75ba1f,0,val,2
img_743b6c446280,0,test,3
img_ac62d7a9fa78,0,test,4
img_6d2316eaf1e4,0,train,1
img_a5830bce2fb8,0,train,5
img_06336fb156ce,0,train,5
img_f06f5f3784c6,0,train,1
img_76e09e7b66f5,0,test,2
img_74ab33e22286,0,test,3
img_617372321b96,0,val,4
img_b29288033093,0,val,4
img_ec8d48395b50,0,train,5
img_e9c2b5677347,0,train,1
img_dbdfcf1f0f15,0,train,2
img_c09d2aa1e665,0,test,3
img_ecd314519621,0,train,1
img_c5e0513b4f2a,0,train,2
img_22e6c7defddd,0,test,3
img_c12ea0d04d0a,0,train,4
img_752503154d4b,0,train,5
img_0384789a76cc,0,train,1
img_b069131728a0,0,test,2
img_5e34801abd4d,0,train,4
img_a7ce4cc19b72,0,train,3
img_66d6dc29411e,0,train,5
img_a0a4edc978c9,0,train,5
img_f0c04d7bec00,0,train,1
img_d04072d46ada,0,test,2
img_afc2db9949f1,0,test,3
img_b01e1c0cb3bb,0,train,4
img_2feac0356578,0,train,3
img_8a8080154651,0,test,5
img_437cc732f3c4,0,train,1
img_57e0b53afb4e,0,train,2
img_7c1064f4d5b6,0,val,4
img_d252de702af7,0,train,4
img_7b32753618fe,0,train,3
img_4d41c0222504,0,train,1
img_8f9d6896d94d,0,train,5
img_9c2c4c3188e1,0,train,2
img_24fb01ef54b9,0,train,1
img_d31c6965ba0f,0,train,3
img_6479fc10cc58,0,train,2
img_f3a91f6b8b00,0,test,4
img_0b24591cbefe,0,val,5
img_58a8ea2978e7,0,train,3
img_1ef16648e437,0,train,1
img_c285c915d53e,0,train,2
img_37a082547181,0,train,4
img_3b6c19420234,0,train,5
img_3703aef93963,0,train,1
img_783000ae91a5,0,train,3
img_f343cd8b8268,0,test,4
img_07b7cd6e1b1d,0,train,2
img_df4d3f4432b1,0,test,5
img_d2e9cd10153d,0,test,1
img_0285197bef27,0,val,3
img_74e4cf1aab9b,0,train,4
img_0de23012a9be,0,train,5
img_4c464a210c70,0,test,2
img_e31c60d67302,0,train,1
img_20936114d3ad,0,train,3
img_162a9808ea98,0,test,4
img_e51119d01014,0,train,5
img_954bbe168993,0,train,2
img_bc702e2fec2c,0,train,1
img_0bd5eeb8a49a,0,train,3
img_88a85122debe,0,test,2
img_aaf4a8dde04e,0,test,4
img_c0f9e437a323,0,train,5
img_ed4cf7dfe575,0,train,3
img_b495ac7aedf9,0,train,4
img_691f198a13e7,0,train,1
img_46262ec2b61a,0,train,2
img_9a1f83706400,0,train,5
img_5adfa4683341,0,train,2
img_9762cb3b1560,0,test,3
img_070ae7238253,0,train,4
img_f32af6f33317,0,train,5
img_a3060a108c96,0,train,1
img_ad4e96cc67fb,0,train,2
img_c4a86fd75df4,0,val,1
img_4bf58f3b8d25,0,train,3
img_5b40f6c20023,0,val,4
img_c1e85423a8b2,0,train,5
img_8dc03a9690ee,0,train,5
img_abd3cba384a1,0,train,1
img_c2f1e5fa707a,0,val,2
img_52a7f33538d2,1,train,3
img_c159b1f2ede8,1,val,4
img_e49b21363548,1,train,5
img_b96f09b05348,1,train,1
img_a6228c3d192f,1,train,2
img_36eb46382677,1,train,3
img_6e5c32f9f5a0,1,test,4
img_0433c74fd2aa,1,train,5
img_606c230b51b0,1,train,1
img_5978c2ed7be7,1,train,3
img_c26adb238d31,1,val,2
img_0db6a962e24d,1,val,4
img_bd847ba735e1,1,train,1
img_4c4f27e36b2c,1,train,2
img_4634bd221b7e,1,test,3
img_9a23e61c6153,1,test,4
img_fe82ff09ba6d,1,test,5
img_8e6cb7205b06,1,val,1
img_87ea59cb2b31,1,train,4
img_21657fdddca9,1,train,5
img_1633233ca092,1,train,2
img_3d467ff01caf,1,train,3
img_89ecaed1f269,1,test,3
img_e05497cbf0d0,1,val,1
img_ad21007e2227,1,train,2
img_d44e9d418ff1,1,train,4
img_7ab560af16b4,1,train,5
img_d70f0f109150,1,train,1
img_c8a5c588969a,1,train,2
img_9a1fe032850a,1,train,3
img_259da9cafd56,1,test,4
img_6863e78b5d20,1,test,5
img_9499882b83a8,1,train,5
img_ec5ec44799e6,1,train,1
img_bc454746be57,1,test,2
img_87cf26c4ee7d,1,test,3
img_d8794e80757f,1,test,4
img_3e4cd8110470,1,train,1
img_0287d68ff60c,1,train,5
img_071da1ae2061,1,train,2
img_e1700c366cab,1,val,3
img_7d42fbb41db4,1,test,4
img_9825bf28867b,1,val,2
img_6ed04f474baf,1,val,1
img_629c78bfe9e1,1,test,3
img_1fc8066390b5,1,train,4
img_01a321ab3a87,1,train,5
img_cd92bf281446,1,train,1
img_41f75a50142f,1,train,2
img_614c89a8af41,1,test,3
img_f1bf60ceb554,1,train,4
img_c73c89f8bfbd,1,train,5
img_5f7499e3944b,1,train,3
img_39dbf8e05267,1,val,1
img_9f5c96598a84,1,train,4
img_488a4ea04005,1,train,2
img_6cd3fbb34057,1,train,5
img_75de90000d19,1,val,1
img_476675ffda7d,1,test,3
img_cbfcd3ba0660,1,train,4
img_eb5d7cc9686d,1,test,2
img_47dfc94cb849,1,val,5
img_190710a25ccd,1,train,1
img_113380d72ad4,1,val,2
img_11455ad81e6a,1,train,3
img_52e569aef5c2,1,train,4
img_31c076a3b539,1,train,5
img_47784dda7de7,1,train,1
img_5ac211d2c371,1,train,2
img_f51fc9bc1ba5,1,val,5
img_8821e8480981,1,train,3
img_8650f0e5ecee,1,train,4
img_d1d1485b9e49,1,train,4
img_1977f33c04e4,1,train,1
img_b61b355df9dc,1,val,2
img_4f6511d954b7,1,train,3
img_54bb3bb27ece,1,val,5
img_0b1602ff0ad8,1,test,2
img_0508c18d386c,1,train,1
img_dd0fb9afa6ac,1,train,3
img_45b698d52ff3,1,train,4
img_2a66191462bf,1,train,5
img_9d0a8c03747f,1,train,2
img_473f9c65f0ce,1,train,1
img_d50575a40325,1,train,3
img_2bf1293a1e53,1,train,4
img_2d1145a9089a,1,train,5
img_1cadc297df57,1,train,1
img_66d4f00347b0,1,train,3
img_cf0db9ee80e4,1,train,4
img_f97289049fdb,1,train,2
img_208b578e1c04,1,train,5
img_53a540bc52d1,1,train,4
img_8e9355be7134,1,train,1
img_fc5da1cc3c9b,1,train,2
img_63d12d412c83,1,train,3
img_d86930f76f6d,1,train,5
img_ce6cf33d2abc,1,test,1
img_a1b6836bc854,1,train,2
img_e4dcea8d5c1e,1,train,4
img_5153a9caa732,1,train,3
img_a53a3a2570b7,1,train,5
img_e4d4194f7268,1,test,1
img_82ac2f142c96,1,train,3
img_5f0525c535a5,1,train,2
img_6a08d914f40a,1,val,4
img_e227d85ccb28,1,train,5
img_bfc95929f823,1,train,1
img_f57f34972ee4,1,train,2
